Paquetes
bizdays
blastula
blogdown
bookdown
car
caret
data.table
dplyr
filesstrings
forecast
ggplot2
ggvis
gmailr
googledrive
googlesheets4
jsonlite
knitr
lattice
lubridate
plotly
plyr
purrr
qcc
randomforest
rcharts
readxl
reshape2
rgl
rmarkdown
shiny
slidify
stringr
taskscheduleR
tibble
tidyr
tidyverse
xlsx
xtable
zoo
scales
keyring
kableExtra
RefManageR
reshape
viridis
